#{"t_start": 1585889272.161149, "env_id": null}
r,l,t
0.47,53,10.099077
-0.06,16,13.165425
-0.28,38,20.182178
-0.02,12,26.482516
-0.01,11,28.832686
0.07,3,29.732052
