#{"t_start": 1585889601.3664382, "env_id": null}
r,l,t
-0.13,113,22.039837
-0.16,26,27.074094-0.-0.36,46,35.974536-0.-0.25,35,42.64208
2,8,42.275883
8,118,39.077177-0.61,71,41.003767

-0.28,38,42.924166
9,39,31.270239

0.0.81,19,33.362683-0.0.0,10,35.34669300.7,30,41.172527
.8,20,40.731886
0.06,4,41.632449
