#{"t_start": 1585889522.1839626, "env_id": null}
r,l,t
-0.53,63,12.466746
-0.13,23,17.152461
0.01,9,18.795097
-0.21,31,24.56162
-0.46,56,34.816367
0.03,7,36.261681
10,16.442988
0.09,91,33.04799
0.02,8,34.644577
-0.19,29,40.047923
-0.23,33,46.168211
-0.43,53,55.877265
0.69,31,61.64344
0.84,16,64.694569
