#{"t_start": 1585889187.5850472, "env_id": null}
r,l,t
0.82,18,3.807974
-0.45,55,13.890508
-0.68,78,28.108364
0.03,7,29.557719
-0.3,40,36.92426
0.7,30,42.508081
0.03,7,43.957103
-0.02,12,46.291258
-0.1,20,51.880847
0.07,3,52.781227
-0.02,12,55.295755
0.75,25,60.15772
-0.5,60,71.309261
0.01,9,73.290847
