#{"t_start": 1585888427.7620018, "env_id": null}
r,l,t
0.07,3,1.175679
-0.22,32,7.107787
-0.91,101,25.474618
0.05,5,26.562091
-0.07,17,29.792006
-0.07,17,33.025535
-0.13,23,37.358656
-0.01,11,39.508343
-0.02,12,41.865865
-0.19,29,47.258268
0.06,4,48.158903
0.0,10,50.1251
-0.25,35,56.608419
0.05,5,57.692909
0.06,4,58.596147
0.03,7,60.031198
0.86,14,62.725996
0.06,4,63.626571
-0.09,19,67.232414
0.05,5,68.309179
0.04,6,69.574668
-0.13,23,73.891873
0.73,27,78.931528
