# {"t_start": 1585808911.5425708, "env_id": null} 
r,l,t
-0.99,100,192.959634
-1.12,13,193.241296
-1.3,31,193.875746
-1.12,13,194.159838
0.99,2,194.209511
-1.01,2,194.275387
0.97,4,194.375494
-1.01,2,194.442456
-0.99,100,196.458044
-1.0,1,196.489958
0.86,15,196.822978
-1.33,34,197.524566
1.0,1,197.560442
-1.16,17,197.909065
0.96,5,198.031588
0.95,6,198.174837
-1.16,17,198.531642
0.58,43,199.423286
-1.34,35,200.147251
0.48,53,201.223143
0.93,8,201.402824
0.47,54,202.488398
-1.16,17,202.855129
0.23,78,204.442039
0.79,22,204.892898
-0.99,100,206.909959
-1.59,60,208.127555
0.95,6,208.314063
-1.8,81,209.947031
-1.3,31,210.58062
0.91,10,210.775943
-1.37,38,211.578271
0.99,2,211.608197
0.97,4,211.724996
-1.69,70,213.160344
0.81,20,213.596081
-1.08,9,213.781611
-1.22,23,214.264847
0.7,31,214.865082
0.83,18,215.264037
0.81,20,215.697453
-1.0,1,215.711416
-1.02,3,215.81357
0.87,14,216.082232
-1.35,36,216.831065
-1.63,64,218.146468
0.47,54,219.246583
0.75,26,219.760911
-1.31,32,220.428564
0.29,72,221.891269
0.75,26,222.448864
-1.33,34,223.127345
1.0,1,223.239605
-1.0,1,223.24858
-1.18,19,223.642574
0.59,42,224.484443
-1.2,21,224.924821
-1.12,13,225.22596
-1.01,2,225.243912
-1.56,57,226.424901
-0.99,100,228.440205
0.91,10,228.685581
-1.06,7,228.842584
0.56,45,229.748
0.97,4,229.86347
0.74,27,230.449492
0.99,2,230.467447
-1.1,11,230.723586
-1.05,6,230.842726
0.32,69,232.259363
0.45,56,233.410189
0.21,80,235.04266
0.3,71,236.426758
-1.03,4,236.543371
-1.08,9,236.766869
-0.99,100,238.775683
0.88,13,239.047955
-1.23,24,239.546877
-1.62,63,240.838724
0.31,70,242.228098
0.97,4,242.407066
0.93,8,242.540715
-0.99,100,244.533657
0.8,21,244.960512
0.84,17,245.376408
-1.11,12,245.614774
-0.99,100,247.629118
0.77,24,248.171656
-1.31,32,248.811596
-1.05,6,248.936263
-0.99,100,250.958509
-1.19,20,251.350619
-1.17,18,251.759764
0.47,54,252.841991
-1.45,46,253.806226
0.69,32,254.46226
-0.99,100,256.495487
1.0,1,256.509451
0.82,19,256.944155
-1.33,34,257.591771
-1.34,35,258.319162
-1.11,12,258.585473
0.98,3,258.694184
-1.35,36,259.450364
0.52,49,260.416867
-1.01,2,260.476642
0.98,3,260.557425
-1.0,1,260.573382
0.4,61,261.833267
0.73,28,262.446047
-1.04,5,262.528825
0.95,6,262.64607
0.99,2,262.747771
-1.07,8,262.943317
-1.01,2,262.961269
-0.99,100,264.960602
-0.99,100,266.994115
0.4,61,268.279838
-0.99,100,270.277535
-1.47,48,271.277144
-1.13,14,271.557275
0.97,4,271.62806
-0.99,100,273.651248
1.0,1,273.707498
-1.1,11,273.953199
0.91,10,274.190856
0.88,13,274.446204
-0.99,100,276.478709
0.99,2,276.506851
0.37,64,277.807848
0.23,78,279.411575
-1.0,1,279.425537
0.97,4,279.553161
-1.1,11,279.79561
1.0,1,279.81057
1.0,1,279.858466
-1.02,3,279.936234
0.92,9,280.127535
-1.23,24,280.625307
0.9,11,280.874928
0.83,18,281.301375
-0.99,100,283.311323
-1.03,4,283.429408
-0.99,100,285.42523
-0.99,100,287.466153
0.92,9,287.648174
-1.47,48,288.611742
0.85,16,288.946427
0.87,14,289.256997
1.0,1,289.308862
-1.45,46,290.216613
-1.38,39,291.047966
0.92,9,291.242053
-1.12,13,291.49375
0.92,9,291.749474
0.45,56,292.878205
0.03,98,294.819669
-1.26,27,295.378803
0.84,17,295.752398
0.5,51,296.79555
0.95,6,296.912505
0.93,8,297.092316
-1.12,13,297.405516
-1.06,7,297.527268
1.0,1,297.626595
1.0,1,297.635544
0.47,54,298.708153
-1.0,1,298.79293
0.62,39,299.544335
0.57,44,300.458682
0.21,80,302.060562
0.22,79,303.684579
-1.02,3,303.779942
1.0,1,303.794914
0.73,28,304.37709
0.53,48,305.351134
0.61,40,306.183621
-1.25,26,306.742664
-1.0,1,306.750643
0.74,27,307.341953
1.0,1,307.349932
0.81,20,307.780808
0.67,34,308.460726
-1.02,3,308.569975
0.88,13,308.825356
0.55,46,309.842737
-1.0,1,309.851713
0.98,3,309.91654
0.58,43,310.806885
0.97,4,310.925571
-1.0,1,310.935416
-1.91,92,312.779745
0.97,4,312.904453
-0.99,100,314.896416
-1.06,7,315.076961
-1.01,2,315.109879
-1.06,7,315.279536
-1.03,4,315.399218
-1.05,6,315.515921
1.0,1,315.574283
0.93,8,315.759981
-1.13,14,316.051994
-1.01,2,316.114826
0.97,4,316.244509
0.78,23,316.674229
-1.44,45,317.648073
-1.04,5,317.725237
